메뉴명,가격,카테고리,판매상태,설명
라라스윗 저당팝콘 (콘스프),2000,디저트,판매중,
라라스윗 저당팝콘 (카라멜),2000,디저트,판매중,
라라스윗 저당팝콘 (초코범벅),2000,디저트,판매중,
라라스윗 헤이즐넛초코웨하스(2EA),1200,디저트,판매중,
요거트 아이스크림,3000,아이스크림,판매중,
딸기 요거트 아이스크림,3500,아이스크림,판매중,
초콜릿 요거트 아이스크림,3500,아이스크림,판매중,
초코쉘 요거트 아이스크림,3900,아이스크림,판매중,
사과잼 와플,2500,와플,판매중,
초코 와플,3000,와플,판매중,
오레오 와플,3000,와플,판매중,
바닐라 아이스크림 와플,3500,와플,판매중,
(NEW)타코야끼(4알),2500,튀김요리,판매중,
순살치킨,6900,튀김요리,판매중,
감자튀김,4900,튀김요리,판매중,
칠리갈릭 감자튀김,5600,튀김요리,판매중,
소떡소떡,2500,튀김요리,판매중,
치즈스틱 2개,1500,튀김요리,판매중,
콜팝,3900,튀김요리,판매중,
양념김말이튀김 4p,2000,튀김요리,판매중,
팔도 꼬꼬면!,4000,면요리,판매중,
삼양 우지 짜르르,4000,면요리,판매중,
신라면 로제(매콤크림 토마토),4000,면요리,판매중,
신라면 GOLD,4000,면요리,판매중,
농심 10분조리 칼국수,5900,면요리,판매중,
라면,3500,면요리,판매중,
짜파게티,3500,면요리,판매중,
삼양우지라면,4500,면요리,판매중,
배홍동 비빔라면,3500,면요리,판매중,
불닭볶음면,3500,면요리,판매중,
까르보불닭볶음면,4000,면요리,판매중,
짜계치,4500,면요리,판매중,
불계치,4500,면요리,판매중,
새우튀김우동,6500,면요리,판매중,
김치볶음밥,6000,식사류,판매중,
엔젤헤어치즈 김치볶음밥,6500,식사류,판매중,
새우튀김볶음밥,6000,식사류,판매중,
잡채볶음밥,6500,식사류,판매중,
스팸계란밥,6500,식사류,판매중,
제육덮밥,6900,식사류,판매중,
쭈꾸미불고기덮밥,6900,식사류,판매중,
치즈닭갈비덮밥,6900,식사류,판매중,
옛날 돈까스,7500,식사류,판매중,
옛날 치즈돈까스,7900,식사류,판매중,
도도 떡볶이,5900,떡볶이,판매중,
도도 라볶이,6500,떡볶이,판매중,
도도 로제떡볶이,6900,떡볶이,판매중,
바나나킥 스노우,3900,스노우 음료,판매중,
죠리퐁 스노우,3900,스노우 음료,판매중,
오레오 스노우,3900,스노우 음료,판매중,
리얼 초코 스노우,4300,스노우 음료,판매중,
요거트 스노우,4500,스노우 음료,판매중,
딸기 요거트 스노우,4500,스노우 음료,판매중,
복숭아 아이스티,3500,음료,판매중,
마시멜로 초콜릿 라떼,3900,음료,판매중,
스위트 딸기라떼,3900,음료,판매중,
달고나 라떼,4300,음료,판매중,
그린티 라떼,4300,음료,판매중,
돈시몬 오렌지쥬스,3900,음료,판매중,
레몬에이드,4500,음료,판매중,
자몽에이드,4500,음료,판매중,
청포도에이드,4500,음료,판매중,
코카콜라,2500,음료,판매중,
제로콜라,2500,음료,판매중,
칠성사이다,2500,음료,판매중,
허브티,4500,음료,판매중,
우유,2000,음료,판매중,
아메리카노,3500,커피 음료,판매중,
디카페인 콜드브루,5500,커피 음료,판매중,
카페라떼,3900,커피 음료,판매중,
바닐라 라떼,4300,커피 음료,판매중,
카페 모카,4300,커피 음료,판매중,
(ICED) 아샷추!,4000,커피 음료,판매중,
진짜 생과일 수박주스 (시즌),5900,신메뉴(NEW),판매중,
텐차(말차) 라떼,4500,신메뉴(NEW),판매중,
텐차(말차) 딸기 라떼,4800,신메뉴(NEW),판매중,
